,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,728,Public Class,com.android.settings.AccessiblePreferenceCategory,21,14,4,3,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,33.0,0
1,732,Public Class,com.android.settings.AccountPreference,120,108,8,8,1.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,8.0,0.0,3.0,0.0,5.0,2.0,72.0,0
2,741,Public Class,com.android.settings.ActiveNetworkScorerDialog,79,61,9,9,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0
3,745,Public Class,com.android.settings.ActivityPicker,426,267,60,100,3.0,2.0,1.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,4.0,2.0,2.0,58.0,0
4,746,Private Static Class,com.android.settings.ActivityPicker.EmptyDrawable,46,37,9,0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,9.0,1.0,0.0,0.0,8.0,2.0,66.0,0
5,756,Private Static Class,com.android.settings.ActivityPicker.IconResizer,112,77,11,24,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0
6,759,Protected Static Class,com.android.settings.ActivityPicker.PickAdapter,124,72,16,36,1.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,50.0,0
7,760,Public Static Class,com.android.settings.ActivityPicker.PickAdapter.Item,69,45,7,17,2.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
8,777,Public Class,com.android.settings.AirplaneModeEnabler,107,70,20,17,2.0,0.0,0.0,0.0,1.0,7.0,5.0,7.0,7.0,0.0,2.0,0.0,5.0,1.0,51.0,1
9,778,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_1),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
10,780,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
11,789,Public Class,com.android.settings.AirplaneModeVoiceActivity,19,14,1,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0
12,791,Public Class,com.android.settings.AllowBindAppWidgetActivity,107,92,9,6,2.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,38.0,1
13,795,Public Class,com.android.settings.ApnEditor,717,598,84,58,3.0,2.0,0.0,0.0,35.0,21.0,32.0,21.0,89.0,0.0,11.0,1.0,9.0,4.0,82.0,1
14,796,Public Static Class,com.android.settings.ApnEditor.ErrorDialog,19,16,3,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1
15,820,Public Class,com.android.settings.ApnPreference,98,82,16,0,3.0,0.0,0.0,0.0,3.0,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,2.0,72.0,1
16,831,Public Class,com.android.settings.ApnSettings,434,363,69,4,2.0,3.0,0.0,1.0,22.0,19.0,14.0,20.0,107.0,0.0,7.0,1.0,12.0,5.0,89.0,1
17,832,Anonymous Class,com.android.settings.ApnSettings.(Anon_1),17,17,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
18,835,Private Class,com.android.settings.ApnSettings.RestoreApnProcessHandler,20,18,2,0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
19,838,Private Class,com.android.settings.ApnSettings.RestoreApnUiHandler,23,23,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
20,850,Anonymous Class,com.android.settings.ApnSettings.onCreateDialog.(Anon_2),4,4,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
21,861,Public Class,com.android.settings.AppHeader,90,79,10,1,1.0,2.0,0.0,7.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,1
22,869,Anonymous Class,com.android.settings.AppHeader.setupHeaderView.(Anon_1),11,11,0,0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
23,871,Anonymous Class,com.android.settings.AppHeader.setupHeaderView.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
24,873,Public Class,com.android.settings.AppListPreference,270,226,33,11,1.0,3.0,7.0,0.0,1.0,11.0,6.0,11.0,18.0,0.0,0.0,4.0,7.0,3.0,71.0,0
25,874,Public Class,com.android.settings.AppListPreference.AppArrayAdapter,43,38,3,2,1.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,33.0,0
26,880,Private Static Class,com.android.settings.AppListPreference.SavedState,48,42,6,0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,44.0,0
27,881,Anonymous Class,com.android.settings.AppListPreference.SavedState.(Anon_1),15,14,1,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
28,896,Public Class,com.android.settings.AppListPreferenceWithSettings,50,38,9,3,1.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,22.0,0.0,1.0,1.0,2.0,4.0,50.0,0
29,899,Anonymous Class,com.android.settings.AppListPreferenceWithSettings.onBindViewHolder.(Anon_1),7,7,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
30,903,Public Class,com.android.settings.AppListSwitchPreference,50,37,5,8,1.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,22.0,0.0,0.0,1.0,3.0,4.0,50.0,0
31,908,Public Class,com.android.settings.AppPicker,139,115,17,7,1.0,2.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,66.0,0
32,909,Anonymous Class,com.android.settings.AppPicker.(Anon_1),7,6,1,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
33,911,Public Class,com.android.settings.AppPicker.AppListAdapter,79,67,5,7,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,25.0,0
34,914,Class,com.android.settings.AppPicker.MyApplicationInfo,4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35,919,Public Class,com.android.settings.AppProgressPreference,23,18,5,0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,33.0,0
36,923,Public Generic Class,com.android.settings.AppWidgetLoader,151,107,24,20,1.0,2.0,0.0,0.0,2.0,5.0,3.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
37,932,Anonymous Class,com.android.settings.AppWidgetLoader.getItems.(Anon_1),6,5,1,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
38,937,Public Class,com.android.settings.AppWidgetPickActivity,153,100,15,38,2.0,3.0,0.0,0.0,2.0,5.0,5.0,5.0,11.0,1.0,0.0,1.0,3.0,3.0,56.0,0
39,943,Public Class,com.android.settings.ApplicationSettings,115,92,16,7,1.0,0.0,0.0,0.0,8.0,7.0,2.0,7.0,75.0,0.0,3.0,2.0,2.0,4.0,71.0,1
40,949,Anonymous Class,com.android.settings.ApplicationSettings.onCreate.(Anon_1),6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
41,953,Public Class,com.android.settings.BandMode,218,157,47,14,1.0,1.0,0.0,0.0,5.0,6.0,7.0,6.0,6.0,0.0,5.0,1.0,0.0,2.0,69.0,1
42,954,Anonymous Class,com.android.settings.BandMode.(Anon_1),16,12,4,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
43,956,Anonymous Class,com.android.settings.BandMode.(Anon_2),23,19,4,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
44,958,Private Static Class,com.android.settings.BandMode.BandListItem,16,13,3,0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0
45,968,Public Class,com.android.settings.BrightnessPreference,12,10,2,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0
46,971,Public Class,com.android.settings.BugreportPreference,84,72,10,2,1.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,15.0,0.0,1.0,2.0,1.0,3.0,68.0,1
47,974,Anonymous Class,com.android.settings.BugreportPreference.onClick.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
48,977,Anonymous Class,com.android.settings.BugreportPreference.onPrepareDialogBuilder.(Anon_1),13,12,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
49,983,Public Class,com.android.settings.CancellablePreference,45,35,10,0,2.0,1.0,0.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,2.0,66.0,0
50,992,Public Class,com.android.settings.CheckableLinearLayout,48,40,8,0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,1.0,0.0,5.0,2.0,50.0,0
51,999,Public Class,com.android.settings.ChooseLockGeneric,828,692,73,68,1.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,51.0,1.0,0.0,1.0,1.0,3.0,0.0,1
52,1000,Public Static Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment,798,668,67,67,1.0,10.0,1.0,0.0,18.0,36.0,18.0,36.0,104.0,1.0,16.0,14.0,5.0,4.0,89.0,1
53,1001,Public Static Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.FactoryResetProtectionWarningDialog,54,48,5,1,1.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1
54,1004,Anonymous Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.FactoryResetProtectionWarningDialog.onCreateDialog.(Anon_2),8,8,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
55,1006,Anonymous Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.FactoryResetProtectionWarningDialog.onCreateDialog.(Anon_3),6,6,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
56,1035,Anonymous Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.removeAllFingerprintForUserAndFinish.(Anon_1),16,15,1,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1
57,1048,Public Static Class,com.android.settings.ChooseLockGeneric.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,4.0,0.0,1
58,1052,Public Class,com.android.settings.ChooseLockPassword,677,572,78,28,1.0,4.0,1.0,6.0,9.0,4.0,0.0,10.0,58.0,1.0,0.0,2.0,7.0,3.0,0.0,1
59,1053,Public Static Class,com.android.settings.ChooseLockPassword.ChooseLockPasswordFragment,537,458,56,23,5.0,10.0,1.0,0.0,8.0,24.0,29.0,24.0,28.0,0.0,4.0,5.0,15.0,3.0,88.0,1
60,1054,Anonymous Class,com.android.settings.ChooseLockPassword.ChooseLockPasswordFragment.(Anon_1),7,7,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
61,1084,Private Static Class,com.android.settings.ChooseLockPassword.SaveAndFinishWorker,44,35,9,0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,9.0,0.0,0.0,1.0,1.0,3.0,0.0,0
62,1097,Public Class,com.android.settings.ChooseLockPattern,696,522,99,76,1.0,4.0,1.0,3.0,2.0,5.0,0.0,8.0,56.0,1.0,0.0,2.0,5.0,3.0,0.0,1
63,1098,Public Static Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment,561,430,76,55,3.0,11.0,1.0,0.0,8.0,19.0,17.0,19.0,23.0,0.0,2.0,5.0,12.0,3.0,84.0,1
64,1099,Anonymous Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment.(Anon_1),43,37,6,0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,1
65,1105,Anonymous Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment.(Anon_2),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
66,1138,Private Static Class,com.android.settings.ChooseLockPattern.SaveAndFinishWorker,54,42,12,0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,10.0,0.0,0.0,2.0,1.0,3.0,33.0,0
67,1150,Public Class,com.android.settings.ChooseLockSettingsHelper,257,144,18,95,1.0,7.0,0.0,0.0,8.0,14.0,3.0,14.0,14.0,3.0,3.0,0.0,8.0,1.0,66.0,0
68,1165,Public Class,com.android.settings.ChooseLockSettingsHelperTest,132,112,18,4,1.0,4.0,0.0,1.0,1.0,5.0,0.0,6.0,6.0,0.0,3.0,2.0,1.0,2.0,0.0,0
69,1172,Public Class,com.android.settings.ColorModePreference,113,92,17,5,2.0,1.0,0.0,0.0,0.0,9.0,4.0,9.0,9.0,0.0,0.0,1.0,8.0,2.0,69.0,0
70,1174,Private Static Class,com.android.settings.ColorModePreference.ColorTransformDescription,6,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
71,1183,Public Class,com.android.settings.ConfirmDeviceCredentialActivity,87,69,7,15,1.0,3.0,1.0,2.0,1.0,3.0,0.0,5.0,5.0,0.0,2.0,0.0,3.0,2.0,0.0,0
72,1184,Public Static Class,com.android.settings.ConfirmDeviceCredentialActivity.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0
73,1190,Public Abstract Class,com.android.settings.ConfirmDeviceCredentialBaseActivity,94,79,10,5,1.0,2.0,2.0,0.0,1.0,8.0,5.0,8.0,56.0,0.0,1.0,1.0,6.0,3.0,77.0,1
74,1199,Public Abstract Class,com.android.settings.ConfirmDeviceCredentialBaseFragment,285,241,27,19,2.0,3.0,2.0,0.0,8.0,23.0,12.0,23.0,28.0,0.0,4.0,11.0,8.0,4.0,86.0,1
75,1200,Anonymous Class,com.android.settings.ConfirmDeviceCredentialBaseFragment.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
76,1215,Anonymous Class,com.android.settings.ConfirmDeviceCredentialBaseFragment.onViewCreated.(Anon_1),5,5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
77,1223,Anonymous Class,com.android.settings.ConfirmDeviceCredentialBaseFragment.showDialog.(Anon_3),7,7,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
78,1229,Public Class,com.android.settings.ConfirmLockPassword,464,406,51,10,1.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,59.0,0.0,0.0,1.0,2.0,4.0,0.0,1
79,1230,Public Static Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment,424,373,45,9,4.0,5.0,0.0,0.0,2.0,29.0,14.0,29.0,57.0,0.0,13.0,4.0,12.0,5.0,88.0,1
80,1240,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.handleAttemptLockout.(Anon_6),19,17,2,0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
81,1256,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.onWindowFocusChanged.(Anon_2),11,10,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
82,1262,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startCheckPassword.(Anon_4),14,14,0,0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
83,1265,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startDisappearAnimation.(Anon_5),14,12,1,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
84,1268,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startEnterAnimation.(Anon_1),6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
85,1271,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startVerifyPassword.(Anon_3),16,16,0,0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
86,1273,Public Static Class,com.android.settings.ConfirmLockPassword.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,5.0,0.0,1
87,1277,Public Class,com.android.settings.ConfirmLockPattern,519,426,63,39,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,58.0,0.0,0.0,1.0,1.0,4.0,0.0,1
88,1278,Public Static Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment,488,406,58,33,3.0,3.0,0.0,0.0,2.0,22.0,15.0,22.0,50.0,0.0,7.0,4.0,11.0,5.0,87.0,1
89,1279,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_2),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
90,1281,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_4),101,89,12,0,1.0,6.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,3.0,0.0,4.0,2.0,0.0,0
91,1288,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_4).startCheckPattern.(Anon_6),13,13,0,0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
92,1291,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_4).startVerifyPattern.(Anon_5),16,16,0,0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
93,1301,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.handleAttemptLockout.(Anon_7),14,12,2,0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
94,1306,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.onCreateView.(Anon_1),5,5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
95,1318,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.startDisappearAnimation.(Anon_3),14,12,1,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
96,1322,Public Static Class,com.android.settings.ConfirmLockPattern.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,5.0,0.0,1
97,1328,Public Class,com.android.settings.CopyablePreference,37,32,5,0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0
98,1334,Anonymous Class,com.android.settings.CopyablePreference.onBindViewHolder.(Anon_1),6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
99,1336,Public Class,com.android.settings.CreateShortcut,69,59,6,4,1.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,0.0,2.0,0.0,1
100,1342,Public Class,com.android.settings.CredentialCheckResultTracker,58,46,9,5,1.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,29.0,0
101,1349,Public Class,com.android.settings.CredentialStorage,522,350,59,113,1.0,5.0,0.0,0.0,7.0,9.0,3.0,9.0,9.0,0.0,7.0,1.0,1.0,2.0,77.0,1
102,1350,Private Class,com.android.settings.CredentialStorage.ConfigureKeyGuardDialog,35,29,3,3,3.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,33.0,0
103,1354,Private Class,com.android.settings.CredentialStorage.ResetDialog,34,27,3,4,3.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,33.0,0
104,1358,Private Class,com.android.settings.CredentialStorage.ResetKeyStoreAndKeyChain,36,28,4,4,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1
105,1361,Private Class,com.android.settings.CredentialStorage.UnlockDialog,92,72,10,10,4.0,1.0,0.0,0.0,0.0,6.0,4.0,6.0,6.0,0.0,1.0,0.0,5.0,1.0,62.0,0
106,1377,Public Class,com.android.settings.CryptKeeper,969,668,121,187,5.0,3.0,0.0,1.0,17.0,36.0,17.0,37.0,37.0,0.0,24.0,0.0,13.0,2.0,94.0,1
107,1378,Anonymous Class,com.android.settings.CryptKeeper.(Anon_1),5,5,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
108,1380,Anonymous Class,com.android.settings.CryptKeeper.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
109,1382,Anonymous Class,com.android.settings.CryptKeeper.(Anon_3),13,12,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
110,1384,Anonymous Class,com.android.settings.CryptKeeper.(Anon_6),25,20,4,1,1.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0
111,1389,Private Class,com.android.settings.CryptKeeper.DecryptTask,57,50,3,4,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,1
112,1394,Private Static Class,com.android.settings.CryptKeeper.NonConfigurationInstanceState,10,6,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
113,1396,Private Class,com.android.settings.CryptKeeper.ValidationTask,33,31,2,1,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0
114,1429,Anonymous Class,com.android.settings.CryptKeeper.passwordEntryInit.(Anon_7),5,5,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
115,1431,Anonymous Class,com.android.settings.CryptKeeper.passwordEntryInit.(Anon_8),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
116,1436,Anonymous Class,com.android.settings.CryptKeeper.setupUi.(Anon_4),58,48,9,2,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
117,1440,Anonymous Class,com.android.settings.CryptKeeper.showFactoryReset.(Anon_5),10,9,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
118,1444,Anonymous Class,com.android.settings.CryptKeeper.updateEmergencyCallButtonState.(Anon_9),6,5,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
119,1447,Public Class,com.android.settings.CryptKeeperConfirm,122,86,17,19,1.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,0.0,1.0,1.0,1.0,3.0,55.0,1
120,1448,Anonymous Class,com.android.settings.CryptKeeperConfirm.(Anon_2),49,28,5,16,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
121,1450,Public Static Class,com.android.settings.CryptKeeperConfirm.Blank,46,37,6,3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
122,1452,Anonymous Class,com.android.settings.CryptKeeperConfirm.Blank.onCreate.(Anon_1),17,16,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
123,1457,Public Class,com.android.settings.CryptKeeperSettings,176,130,24,22,1.0,3.0,0.0,0.0,5.0,9.0,7.0,9.0,13.0,0.0,3.0,1.0,5.0,3.0,85.0,1
124,1458,Anonymous Class,com.android.settings.CryptKeeperSettings.(Anon_1),21,18,2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
125,1460,Anonymous Class,com.android.settings.CryptKeeperSettings.(Anon_2),13,12,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
126,1471,Public Class,com.android.settings.CustomDialogPreference,85,66,19,0,1.0,1.0,6.0,0.0,0.0,11.0,1.0,11.0,11.0,0.0,1.0,4.0,6.0,2.0,81.0,1
