,Unnamed: 0,Kind,Name,CountLine,CountLineCode,CountLineBlank,CountLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,MaxInheritanceTree,PercentLackOfCohesion,Fault
0,1433,Public Class,android.bluetooth.BluetoothCodecConfig,5,2,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,1436,Public Class,android.content.om.IOverlayManager,8,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2,1437,Public Static Class,android.content.om.IOverlayManager.Stub,5,5,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
3,1439,Public Class,android.content.om.OverlayInfo,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4,1441,Public Class,android.net.NetworkBadging,22,14,3,5,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,0
5,1444,Public Class,android.net.NetworkScorerAppData,121,92,14,15,2.0,0.0,0.0,0.0,1.0,12.0,5.0,12.0,12.0,0.0,0.0,1.0,11.0,1.0,41.0,0
6,1445,Anonymous Class,android.net.NetworkScorerAppData.(Anon_1),10,9,1,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
7,1461,Public Class,android.net.wifi.WifiNetworkScoreCache,8,2,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8,1463,Public Class,android.print.PrintServicesLoader,9,6,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
9,1466,Public Class,android.util.IconDrawableFactory,21,14,4,3,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0
10,1625,Public Class,com.android.ims.ImsManager,24,16,5,3,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,75.0,0
11,1632,Public Class,com.android.internal.app.LocalePickerWithRegion,9,5,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
12,1635,Public Class,com.android.internal.app.NightDisplayController,10,4,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
13,1638,Public Class,com.android.internal.hardware.AmbientDisplayConfiguration,24,15,5,4,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0
14,1645,Public Class,com.android.settings.AccessiblePreferenceCategory,21,14,4,3,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,33.0,0
15,1649,Public Class,com.android.settings.ActivityPicker,426,267,60,100,3.0,2.0,1.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,4.0,2.0,2.0,58.0,1
16,1650,Private Static Class,com.android.settings.ActivityPicker.EmptyDrawable,46,37,9,0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,9.0,1.0,0.0,0.0,8.0,2.0,66.0,0
17,1660,Private Static Class,com.android.settings.ActivityPicker.IconResizer,112,77,11,24,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0
18,1663,Protected Static Class,com.android.settings.ActivityPicker.PickAdapter,124,72,16,36,1.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,50.0,0
19,1664,Public Static Class,com.android.settings.ActivityPicker.PickAdapter.Item,69,45,7,17,2.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
20,1681,Public Class,com.android.settings.AirplaneModeEnabler,109,73,19,17,2.0,1.0,0.0,0.0,1.0,7.0,6.0,7.0,7.0,0.0,2.0,0.0,5.0,1.0,54.0,1
21,1682,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_1),9,9,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
22,1684,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
23,1693,Public Class,com.android.settings.AirplaneModeVoiceActivity,19,14,1,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0
24,1695,Public Class,com.android.settings.AllowBindAppWidgetActivity,110,95,9,6,2.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,37.0,1
25,1699,Public Class,com.android.settings.ApnEditor,1054,867,109,103,3.0,2.0,0.0,0.0,38.0,28.0,35.0,28.0,106.0,2.0,16.0,0.0,10.0,5.0,83.0,0
26,1700,Public Static Class,com.android.settings.ApnEditor.ErrorDialog,24,20,4,0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,15.0,0.0,0.0,0.0,3.0,4.0,0.0,0
27,1732,Public Class,com.android.settings.ApnPreference,106,88,18,0,3.0,1.0,0.0,0.0,3.0,11.0,3.0,11.0,11.0,0.0,0.0,0.0,11.0,2.0,76.0,0
28,1744,Public Class,com.android.settings.ApnSettings,454,380,71,5,2.0,3.0,0.0,1.0,22.0,21.0,14.0,22.0,119.0,0.0,8.0,0.0,14.0,6.0,90.0,0
29,1745,Anonymous Class,com.android.settings.ApnSettings.(Anon_1),17,17,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
30,1748,Private Class,com.android.settings.ApnSettings.RestoreApnProcessHandler,20,18,2,0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
31,1751,Private Class,com.android.settings.ApnSettings.RestoreApnUiHandler,23,23,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
32,1765,Anonymous Class,com.android.settings.ApnSettings.onCreateDialog.(Anon_2),4,4,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
33,1776,Public Class,com.android.settings.AppHeader,19,16,2,1,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
34,1778,Public Class,com.android.settings.AppProgressPreference,23,18,5,0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,33.0,0
35,1782,Public Generic Class,com.android.settings.AppWidgetLoader,151,107,24,20,1.0,2.0,0.0,0.0,2.0,5.0,3.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,60.0,0
36,1791,Anonymous Class,com.android.settings.AppWidgetLoader.getItems.(Anon_1),6,5,1,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
37,1796,Public Class,com.android.settings.AppWidgetPickActivity,153,100,15,38,2.0,3.0,0.0,0.0,2.0,5.0,5.0,5.0,11.0,1.0,0.0,1.0,3.0,3.0,56.0,0
38,1802,Public Class,com.android.settings.ApplicationSettings,115,92,16,7,1.0,0.0,0.0,0.0,8.0,7.0,2.0,7.0,85.0,0.0,3.0,1.0,3.0,5.0,71.0,0
39,1808,Anonymous Class,com.android.settings.ApplicationSettings.onCreate.(Anon_1),6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
40,1812,Public Class,com.android.settings.BandMode,223,162,47,15,1.0,1.0,0.0,0.0,5.0,6.0,7.0,6.0,6.0,0.0,5.0,1.0,0.0,2.0,69.0,1
41,1813,Anonymous Class,com.android.settings.BandMode.(Anon_1),16,12,4,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
42,1815,Anonymous Class,com.android.settings.BandMode.(Anon_2),23,19,4,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
43,1817,Private Static Class,com.android.settings.BandMode.BandListItem,16,13,3,0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0
44,1827,Public Class,com.android.settings.BrightnessPreference,12,10,2,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0
45,1830,Public Class,com.android.settings.BugreportPreference,72,62,10,0,1.0,2.0,0.0,0.0,1.0,4.0,4.0,4.0,15.0,0.0,1.0,2.0,1.0,3.0,68.0,1
46,1834,Anonymous Class,com.android.settings.BugreportPreference.onPrepareDialogBuilder.(Anon_1),13,12,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
47,1840,Public Class,com.android.settings.CancellablePreference,45,35,10,0,2.0,1.0,0.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,2.0,66.0,0
48,1849,Public Class,com.android.settings.CheckableLinearLayout,48,40,8,0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,1.0,0.0,5.0,2.0,50.0,0
49,1856,Public Class,com.android.settings.ChooseLockGeneric,893,751,73,75,1.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,42.0,1.0,0.0,1.0,1.0,3.0,0.0,0
50,1857,Public Static Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment,863,727,67,74,1.0,14.0,1.0,0.0,21.0,37.0,20.0,37.0,115.0,1.0,16.0,14.0,6.0,5.0,89.0,0
51,1858,Public Static Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.FactoryResetProtectionWarningDialog,59,52,6,1,1.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,16.0,0.0,0.0,0.0,4.0,4.0,0.0,0
52,1862,Anonymous Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.FactoryResetProtectionWarningDialog.onCreateDialog.(Anon_2),8,8,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
53,1864,Anonymous Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.FactoryResetProtectionWarningDialog.onCreateDialog.(Anon_3),6,6,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
54,1894,Anonymous Class,com.android.settings.ChooseLockGeneric.ChooseLockGenericFragment.removeAllFingerprintForUserAndFinish.(Anon_1),17,14,1,2,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
55,1907,Public Static Class,com.android.settings.ChooseLockGeneric.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,4.0,0.0,0
56,1911,Public Class,com.android.settings.ChooseLockGenericTest,166,121,23,25,1.0,4.0,0.0,0.0,2.0,9.0,4.0,9.0,9.0,0.0,5.0,0.0,4.0,1.0,63.0,0
57,1922,Public Class,com.android.settings.ChooseLockPassword,873,720,95,59,1.0,4.0,1.0,6.0,9.0,4.0,0.0,10.0,49.0,1.0,0.0,2.0,7.0,3.0,0.0,0
58,1923,Public Static Class,com.android.settings.ChooseLockPassword.ChooseLockPasswordFragment,735,604,73,58,5.0,12.0,1.0,0.0,25.0,28.0,31.0,28.0,46.0,0.0,8.0,4.0,16.0,4.0,87.0,0
59,1929,Class,com.android.settings.ChooseLockPassword.ChooseLockPasswordFragment.TextChangedHandler,23,17,2,4,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0
60,1960,Public Static Class,com.android.settings.ChooseLockPassword.SaveAndFinishWorker,44,35,9,0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,9.0,0.0,0.0,1.0,1.0,3.0,0.0,0
61,1973,Public Class,com.android.settings.ChooseLockPattern,716,538,102,77,1.0,4.0,1.0,3.0,2.0,5.0,0.0,8.0,47.0,1.0,0.0,2.0,5.0,3.0,0.0,0
62,1974,Public Static Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment,579,444,79,56,3.0,11.0,1.0,0.0,8.0,19.0,18.0,19.0,37.0,0.0,2.0,4.0,13.0,4.0,85.0,0
63,1975,Anonymous Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment.(Anon_1),52,45,7,0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0
64,1981,Anonymous Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment.(Anon_1).patternInProgress.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
65,1983,Anonymous Class,com.android.settings.ChooseLockPattern.ChooseLockPatternFragment.(Anon_3),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
66,2016,Public Static Class,com.android.settings.ChooseLockPattern.SaveAndFinishWorker,54,42,12,0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,10.0,0.0,0.0,2.0,1.0,3.0,33.0,0
67,2028,Public Class,com.android.settings.ChooseLockSettingsHelper,257,144,18,95,1.0,7.0,0.0,0.0,8.0,14.0,3.0,14.0,14.0,3.0,3.0,0.0,8.0,1.0,66.0,0
68,2043,Public Class,com.android.settings.ChooseLockSettingsHelperTest,132,112,18,4,1.0,4.0,0.0,1.0,1.0,5.0,0.0,6.0,6.0,0.0,3.0,2.0,1.0,2.0,0.0,0
69,2050,Public Class,com.android.settings.ConfirmCredentialTest,14,10,2,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
70,2052,Public Class,com.android.settings.ConfirmDeviceCredentialActivity,87,69,7,15,1.0,3.0,1.0,2.0,1.0,3.0,0.0,5.0,5.0,0.0,2.0,0.0,3.0,2.0,0.0,0
71,2053,Public Static Class,com.android.settings.ConfirmDeviceCredentialActivity.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0
72,2059,Public Abstract Class,com.android.settings.ConfirmDeviceCredentialBaseActivity,117,96,14,7,1.0,3.0,2.0,0.0,1.0,9.0,5.0,9.0,48.0,0.0,1.0,1.0,7.0,3.0,77.0,0
73,2072,Public Abstract Class,com.android.settings.ConfirmDeviceCredentialBaseFragment,343,284,35,27,2.0,4.0,2.0,0.0,8.0,24.0,11.0,24.0,43.0,0.0,3.0,13.0,8.0,5.0,85.0,0
74,2073,Anonymous Class,com.android.settings.ConfirmDeviceCredentialBaseFragment.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
75,2075,Public Static Class,com.android.settings.ConfirmDeviceCredentialBaseFragment.LastTryDialog,60,47,6,7,1.0,0.0,0.0,2.0,5.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0
76,2094,Anonymous Class,com.android.settings.ConfirmDeviceCredentialBaseFragment.onViewCreated.(Anon_1),5,5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
77,2106,Public Class,com.android.settings.ConfirmLockPassword,473,414,52,10,1.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,51.0,0.0,0.0,1.0,2.0,4.0,0.0,0
78,2107,Public Static Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment,433,381,46,9,4.0,5.0,0.0,0.0,2.0,29.0,14.0,29.0,72.0,0.0,13.0,3.0,13.0,6.0,88.0,0
79,2117,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.handleAttemptLockout.(Anon_5),19,17,2,0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
80,2133,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.onWindowFocusChanged.(Anon_2),11,10,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
81,2139,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startCheckPassword.(Anon_4),14,14,0,0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
82,2144,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startEnterAnimation.(Anon_1),6,6,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
83,2147,Anonymous Class,com.android.settings.ConfirmLockPassword.ConfirmLockPasswordFragment.startVerifyPassword.(Anon_3),16,16,0,0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
84,2149,Public Static Class,com.android.settings.ConfirmLockPassword.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,5.0,0.0,0
85,2153,Public Class,com.android.settings.ConfirmLockPasswordTest,30,26,4,0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0
86,2157,Public Class,com.android.settings.ConfirmLockPattern,523,430,62,41,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,50.0,0.0,0.0,1.0,1.0,4.0,0.0,0
87,2158,Public Static Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment,492,410,57,35,3.0,4.0,0.0,0.0,2.0,22.0,15.0,22.0,65.0,0.0,7.0,3.0,12.0,6.0,87.0,0
88,2159,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_2),4,4,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
89,2161,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_3),102,89,12,2,1.0,6.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,3.0,0.0,4.0,2.0,0.0,0
90,2168,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_3).startCheckPattern.(Anon_5),13,13,0,0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
91,2171,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.(Anon_3).startVerifyPattern.(Anon_4),16,16,0,0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
92,2181,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.handleAttemptLockout.(Anon_6),14,12,2,0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
93,2186,Anonymous Class,com.android.settings.ConfirmLockPattern.ConfirmLockPatternFragment.onCreateView.(Anon_1),5,5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
94,2201,Public Static Class,com.android.settings.ConfirmLockPattern.InternalActivity,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,0
95,2207,Public Class,com.android.settings.CreateShortcut,148,126,18,4,1.0,2.0,0.0,1.0,1.0,8.0,0.0,9.0,9.0,1.0,2.0,6.0,0.0,2.0,0.0,0
96,2208,Public Static Class,com.android.settings.CreateShortcut.ShortcutsUpdateTask,33,29,4,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
97,2220,Public Class,com.android.settings.CreateShortcutTest,88,64,15,9,1.0,5.0,0.0,0.0,1.0,6.0,4.0,6.0,6.0,0.0,2.0,0.0,4.0,1.0,45.0,0
98,2227,Public Class,com.android.settings.CredentialCheckResultTracker,58,46,9,5,1.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,29.0,0
99,2234,Public Class,com.android.settings.CredentialStorage,535,360,61,114,1.0,6.0,0.0,0.0,7.0,10.0,3.0,10.0,10.0,0.0,8.0,1.0,1.0,2.0,80.0,0
100,2235,Private Class,com.android.settings.CredentialStorage.ConfigureKeyGuardDialog,35,29,3,3,3.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,33.0,0
101,2239,Private Class,com.android.settings.CredentialStorage.ResetDialog,34,27,3,4,3.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,33.0,0
102,2243,Private Class,com.android.settings.CredentialStorage.ResetKeyStoreAndKeyChain,37,29,4,4,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0
103,2246,Private Class,com.android.settings.CredentialStorage.UnlockDialog,92,72,10,10,4.0,1.0,0.0,0.0,0.0,6.0,4.0,6.0,6.0,0.0,1.0,0.0,5.0,1.0,62.0,0
104,2263,Public Class,com.android.settings.CryptKeeper,966,666,121,186,5.0,4.0,0.0,1.0,17.0,36.0,17.0,37.0,37.0,0.0,24.0,0.0,13.0,2.0,94.0,0
105,2264,Anonymous Class,com.android.settings.CryptKeeper.(Anon_1),5,5,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
106,2266,Anonymous Class,com.android.settings.CryptKeeper.(Anon_2),5,5,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
107,2268,Anonymous Class,com.android.settings.CryptKeeper.(Anon_3),13,12,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
108,2270,Anonymous Class,com.android.settings.CryptKeeper.(Anon_6),25,20,4,1,1.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0
109,2275,Private Class,com.android.settings.CryptKeeper.DecryptTask,58,51,3,4,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,0
110,2280,Private Static Class,com.android.settings.CryptKeeper.NonConfigurationInstanceState,10,6,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
111,2282,Private Class,com.android.settings.CryptKeeper.ValidationTask,33,31,2,1,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0
112,2315,Anonymous Class,com.android.settings.CryptKeeper.passwordEntryInit.(Anon_7),5,5,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
113,2320,Anonymous Class,com.android.settings.CryptKeeper.setupUi.(Anon_4),58,48,9,2,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0
114,2324,Anonymous Class,com.android.settings.CryptKeeper.showFactoryReset.(Anon_5),11,10,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
115,2328,Anonymous Class,com.android.settings.CryptKeeper.updateEmergencyCallButtonState.(Anon_8),6,5,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
116,2331,Public Class,com.android.settings.CryptKeeperConfirm,122,86,17,19,1.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,21.0,0.0,1.0,0.0,2.0,4.0,55.0,1
117,2332,Anonymous Class,com.android.settings.CryptKeeperConfirm.(Anon_2),49,28,5,16,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
118,2334,Public Static Class,com.android.settings.CryptKeeperConfirm.Blank,46,37,6,3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
119,2336,Anonymous Class,com.android.settings.CryptKeeperConfirm.Blank.onCreate.(Anon_1),17,16,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1
120,2341,Public Class,com.android.settings.CryptKeeperSettings,176,130,24,22,1.0,3.0,0.0,0.0,5.0,9.0,7.0,9.0,27.0,0.0,3.0,0.0,6.0,4.0,85.0,0
121,2342,Anonymous Class,com.android.settings.CryptKeeperSettings.(Anon_1),21,18,2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
122,2344,Anonymous Class,com.android.settings.CryptKeeperSettings.(Anon_2),13,12,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0
123,2355,Public Class,com.android.settings.CustomDialogPreference,85,66,19,0,1.0,1.0,5.0,0.0,0.0,11.0,1.0,11.0,11.0,0.0,1.0,4.0,6.0,2.0,81.0,0
124,2360,Public Static Class,com.android.settings.CustomDialogPreference.CustomPreferenceDialogFragment,38,32,6,0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,6.0,6.0,0.0,1.0,2.0,3.0,2.0,0.0,0
125,2374,Public Class,com.android.settings.CustomEditTextPreference,90,70,20,0,1.0,1.0,3.0,0.0,0.0,12.0,1.0,12.0,12.0,0.0,1.0,4.0,7.0,2.0,75.0,0
126,2379,Public Static Class,com.android.settings.CustomEditTextPreference.CustomPreferenceDialogFragment,39,33,6,0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,6.0,6.0,0.0,1.0,2.0,3.0,2.0,0.0,0
127,2394,Public Class,com.android.settings.CustomListPreference,190,149,25,16,1.0,0.0,2.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,6.0,2.0,2.0,0.0,1
